SMILES
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N1C(=O)C2([H])C3([H])OC([H])(C([H])(Br)C3([H])Br)C2([H])C1=O
[H]OC(=O)c1c([H])oc([H])c1C(=O)c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H]
